"participant" "outcome" "rt" "affect"
"551" 3 1 1.68679999995232 98
"552" 3 1 1.98010000002384 82
"553" 3 -2 1.11810000002384 6
"554" 3 1 1.25469999992847 99
"555" 3 1 3.92989999997616 99
"556" 3 -1 1.4175 12
"557" 3 1 1.13530000007153 95
"558" 3 -1 1.27960000002384 7
"559" 3 -1 1.30920000004768 8
"560" 3 1 1.09239999997616 93
"561" 3 2 1.05589999997616 94
"562" 3 2 3.68680000007153 96
"563" 3 -2 1.7385 8
"564" 3 -1 1.305 8
"565" 3 2 1.19379999995232 98
"566" 3 -2 1.497 4
"567" 4 1 2.28239999999944 74
"568" 4 -2 2.36679999999981 37
"569" 4 -2 2.186 1
"570" 4 -2 3.31479999999981 24
"571" 4 -1 3.6475 25
"572" 4 2 4.71939999999944 84
"573" 4 2 2.0545 100
"574" 4 -2 3.93770000000019 19
"575" 4 1 3.10879999999981 99
"576" 4 1 2.61420000000019 80
"577" 4 -1 2.29729999999981 1
"578" 4 1 2.30520000000019 77
"579" 4 1 1.82729999999981 76
"580" 4 2 1.91529999999981 100
"581" 4 -1 1.44280000000075 28
"582" 4 -1 4.7495 16
"583" 4 -2 2.26270000000019 2
"584" 4 2 1.69409999999963 99
"585" 4 1 1.74020000000019 77
"586" 4 2 1.98270000000019 84
"587" 4 1 2.6095 100
"588" 4 -2 3.19390000000037 22
"589" 4 1 1.72770000000019 75
"590" 4 1 1.71640000000037 74
"591" 4 -2 2.09879999999981 1
"592" 4 -1 1.40060000000056 29
"593" 4 2 1.85579999999981 100
"594" 4 1 4.62660000000056 89
"595" 4 -1 2.4775 40
"596" 4 1 3.167 100
"597" 4 -1 1.7905 0
"598" 4 -2 4.81460000000056 2
"599" 4 -1 3.11959999999963 1
"600" 4 -2 1.54620000000019 1
"601" 4 2 1.54090000000037 99
"602" 4 1 3.13359999999963 99
"603" 4 -1 2.7085 1
"604" 4 2 1.97470000000019 100
"605" 4 -1 1.69320000000019 3
"606" 4 -2 2.42379999999981 3
"607" 4 -1 4.75960000000056 2
"608" 4 2 1.853 100
"609" 4 2 2.03760000000056 100
"610" 4 2 2.10209999999963 100
"611" 4 2 2.16029999999981 100
"612" 4 -1 1.55 26
"613" 4 -1 3.09979999999981 37
"614" 4 -2 2.11829999999981 2
"615" 4 2 2.13230000000075 100
"616" 4 -2 2.72929999999981 16
"617" 4 -1 1.46739999999944 27
"618" 4 -1 1.389 24
"619" 4 -1 2.757 2
"620" 4 1 4.33810000000056 74
"621" 4 -2 1.83279999999981 2
"622" 4 -2 2.34329999999981 3
"623" 4 1 2.81009999999963 81
"624" 4 -2 1.79120000000019 1
"625" 4 1 1.64039999999944 73
"626" 4 2 1.97620000000019 99
"627" 4 2 1.66640000000037 99
"628" 4 -2 2.17919999999926 0
"629" 4 1 1.60469999999925 100
"630" 4 2 1.478 100
"631" 4 -2 1.92570000000019 2
"632" 4 1 1.7165 86
"633" 4 -2 1.81579999999981 1
"634" 4 2 3.82019999999926 100
"635" 4 2 2.57729999999981 100
"636" 4 1 1.861 84
"637" 4 -2 1.59859999999963 2
"638" 4 1 1.581 86
"639" 4 2 1.86 100
"640" 4 1 3.21720000000019 99
"641" 4 -2 2.12159999999963 2
"642" 4 2 2.12509999999963 99
"643" 4 2 3.482 100
"644" 4 1 3.37909999999963 100
"645" 4 -1 1.74339999999944 1
"646" 4 -1 1.72990000000037 1
"647" 4 1 1.37519999999926 76
"648" 4 2 1.867 98
"649" 4 -1 3.02270000000019 27
"650" 4 2 1.52369999999925 100
"651" 4 2 1.46389999999944 99
"652" 4 -2 2.53159999999963 1
"653" 4 -1 1.39279999999981 19
"654" 4 -2 1.8525 2
"655" 4 1 1.57289999999944 79
"656" 4 1 1.82290000000037 76
"657" 4 -1 1.37790000000037 25
"658" 4 -1 2.23709999999963 33
"659" 4 2 1.79460000000056 99
"660" 4 -1 1.19710000000056 23
"661" 4 -2 1.546 1
"662" 4 1 4.18 84
"663" 4 -2 1.96820000000019 2
"664" 4 -1 1.38909999999963 27
"665" 4 1 1.46489999999944 82
"666" 4 -1 1.73810000000056 23
"667" 4 -2 2.54790000000037 0
"668" 4 2 2.00840000000037 100
"669" 4 -2 2.02029999999981 2
"670" 4 -2 2.41539999999944 1
"671" 4 -1 1.84070000000019 26
"672" 4 -1 1.5755 23
"673" 4 2 2.78120000000019 99
"674" 4 -1 1.97970000000019 25
"675" 4 2 1.92380000000075 99
"676" 4 -2 2.3215 2
"677" 4 -2 1.92629999999981 1
"678" 4 1 2.81839999999944 100
"679" 4 1 2.46039999999944 91
"680" 4 -2 1.639 1
"681" 4 1 1.19679999999981 99
"682" 4 -2 1.35659999999963 1
"683" 4 -1 1.74010000000056 2
"684" 4 1 1.22190000000037 89
"685" 4 1 1.25409999999963 86
"686" 4 1 1.29720000000019 89
"687" 4 -2 1.48629999999981 1
"688" 4 1 1.56110000000056 100
"689" 4 -1 2.162 30
"690" 4 -2 1.29379999999981 1
"691" 4 -1 1.55559999999963 23
"692" 4 1 1.45890000000037 87
"693" 4 2 1.941 99
"694" 4 -1 1.36020000000019 20
"695" 4 1 1.207 87
"696" 4 -1 1.6545 21
"697" 4 2 1.77179999999981 100
"698" 4 2 1.77109999999963 99
"699" 4 1 1.63879999999981 75
"700" 4 2 1.76009999999963 100
"701" 4 -1 1.41440000000037 21
"702" 4 -2 2.4915 24
"703" 4 2 1.3195 99
"704" 4 2 1.77820000000019 99
"705" 4 2 1.85659999999963 99
"706" 4 -1 2.19370000000019 13
"707" 4 -1 1.52619999999926 19
"708" 4 2 1.57920000000019 100
"709" 4 -2 1.58930000000075 2
"710" 4 2 1.25240000000037 100
"711" 4 -2 2.03389999999944 1
"712" 4 1 2.62339999999944 86
"713" 4 1 1.505 85
"714" 4 -1 1.29510000000056 23
"715" 4 -1 1.74479999999981 1
"716" 4 2 1.20780000000075 100
"717" 4 -2 1.60870000000019 24
"718" 4 -1 2.52340000000037 1
"719" 4 -1 1.66669999999925 1
"720" 4 -1 1.35910000000056 2
"721" 4 2 1.95920000000019 100
"722" 4 1 1.13090000000037 86
"723" 4 1 1.59570000000019 92
"724" 4 -1 1.88710000000056 9
"725" 4 1 1.80660000000056 77
"726" 4 -2 1.40520000000019 1
"727" 4 -2 1.41929999999981 1
"728" 4 1 2.531 87
"729" 4 1 1.511 84
"730" 4 -1 1.86070000000019 23
"731" 4 1 2.00740000000037 88
"732" 4 -2 2.032 11
"733" 4 1 2.55120000000019 95
"734" 4 2 3.02209999999963 99
"735" 4 2 1.74 99
"736" 4 -2 1.73790000000037 20
"737" 4 -2 1.27890000000037 14
"738" 4 -1 1.12029999999981 27
"739" 4 1 1.608 79
"740" 4 2 2.07129999999981 100
"741" 4 -2 1.88429999999981 4
"742" 4 2 1.57990000000037 99
"743" 4 -1 1.70380000000075 2
"744" 4 1 2.34490000000037 99
"745" 4 2 1.82840000000037 99
"746" 4 -2 2.24210000000056 2
"747" 4 2 1.30340000000037 99
"748" 4 2 1.80079999999981 99
"749" 4 -1 1.40720000000019 22
"750" 4 -2 1.62530000000075 1
"751" 4 1 1.41429999999981 99
"752" 5 1 3.75840000000596 89
"753" 5 -1 1.97210000000149 41
"754" 5 1 1.62929999999702 97
